arquivo,classe,split_origem,largura_px,altura_px,modo_cor,canais,formato,bytes,no_repositorio,origem_hf
_interno/ecg_png_alta_resolucao/treino/infarto/21.png,infarto,treino,1132,394,RGBA,4,PNG,476386,nao,data/train/myocardial infarctions/21.png
_interno/ecg_png_alta_resolucao/treino/infarto/22.png,infarto,treino,1012,499,RGBA,4,PNG,1243564,nao,data/train/myocardial infarctions/22.png
_interno/ecg_png_alta_resolucao/treino/infarto/23.png,infarto,treino,904,366,RGBA,4,PNG,728884,nao,data/train/myocardial infarctions/23.png
_interno/ecg_png_alta_resolucao/treino/infarto/24.png,infarto,treino,907,306,RGBA,4,PNG,668287,nao,data/train/myocardial infarctions/24.png
_interno/ecg_png_alta_resolucao/treino/infarto/25.png,infarto,treino,916,331,RGBA,4,PNG,689331,nao,data/train/myocardial infarctions/25.png
_interno/ecg_png_alta_resolucao/treino/infarto/3.png,infarto,treino,802,430,RGBA,4,PNG,796506,nao,data/train/myocardial infarctions/3.png
_interno/ecg_png_alta_resolucao/treino/infarto/4.png,infarto,treino,952,429,RGBA,4,PNG,850203,nao,data/train/myocardial infarctions/4.png
_interno/ecg_png_alta_resolucao/treino/infarto/5.png,infarto,treino,939,418,RGBA,4,PNG,755912,nao,data/train/myocardial infarctions/5.png
_interno/ecg_png_alta_resolucao/treino/infarto/6.png,infarto,treino,952,432,RGBA,4,PNG,856367,nao,data/train/myocardial infarctions/6.png
_interno/ecg_png_alta_resolucao/treino/infarto/7.png,infarto,treino,1246,508,RGBA,4,PNG,1138104,nao,data/train/myocardial infarctions/7.png
_interno/ecg_png_alta_resolucao/treino/infarto/8.png,infarto,treino,753,643,RGBA,4,PNG,778050,nao,data/train/myocardial infarctions/8.png
_interno/ecg_png_alta_resolucao/treino/infarto/9.png,infarto,treino,858,409,RGBA,4,PNG,636348,nao,data/train/myocardial infarctions/9.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi001.png,infarto,treino,802,364,RGBA,4,PNG,663228,nao,data/train/myocardial infarctions/mi001.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi002.png,infarto,treino,802,397,RGBA,4,PNG,721225,nao,data/train/myocardial infarctions/mi002.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi003.png,infarto,treino,801,426,RGBA,4,PNG,767017,nao,data/train/myocardial infarctions/mi003.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi004.png,infarto,treino,798,436,RGBA,4,PNG,784529,nao,data/train/myocardial infarctions/mi004.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi005.png,infarto,treino,799,427,RGBA,4,PNG,763461,nao,data/train/myocardial infarctions/mi005.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi006.png,infarto,treino,801,364,RGBA,4,PNG,644370,nao,data/train/myocardial infarctions/mi006.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi007.png,infarto,treino,802,378,RGBA,4,PNG,673129,nao,data/train/myocardial infarctions/mi007.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi008.png,infarto,treino,799,364,RGBA,4,PNG,651974,nao,data/train/myocardial infarctions/mi008.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi009.png,infarto,treino,801,366,RGBA,4,PNG,653200,nao,data/train/myocardial infarctions/mi009.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi010.png,infarto,treino,802,379,RGBA,4,PNG,672880,nao,data/train/myocardial infarctions/mi010.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi011.png,infarto,treino,796,415,RGBA,4,PNG,732730,nao,data/train/myocardial infarctions/mi011.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi012.png,infarto,treino,799,334,RGBA,4,PNG,599252,nao,data/train/myocardial infarctions/mi012.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi013.png,infarto,treino,799,364,RGBA,4,PNG,657209,nao,data/train/myocardial infarctions/mi013.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi014.png,infarto,treino,796,436,RGBA,4,PNG,780371,nao,data/train/myocardial infarctions/mi014.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi015.png,infarto,treino,802,300,RGBA,4,PNG,543405,nao,data/train/myocardial infarctions/mi015.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi016.png,infarto,treino,802,313,RGBA,4,PNG,562010,nao,data/train/myocardial infarctions/mi016.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi017.png,infarto,treino,1078,489,RGBA,4,PNG,410376,nao,data/train/myocardial infarctions/mi017.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi018.png,infarto,treino,1138,553,RGBA,4,PNG,124960,nao,data/train/myocardial infarctions/mi018.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi019.png,infarto,treino,1492,669,RGBA,4,PNG,279326,nao,data/train/myocardial infarctions/mi019.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi020.png,infarto,treino,814,445,RGBA,4,PNG,332269,nao,data/train/myocardial infarctions/mi020.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi021.png,infarto,treino,754,502,RGBA,4,PNG,323503,nao,data/train/myocardial infarctions/mi021.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi022.png,infarto,treino,862,445,RGBA,4,PNG,339758,nao,data/train/myocardial infarctions/mi022.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi023.png,infarto,treino,793,442,RGBA,4,PNG,405469,nao,data/train/myocardial infarctions/mi023.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi024.png,infarto,treino,768,442,RGBA,4,PNG,309338,nao,data/train/myocardial infarctions/mi024.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi025.png,infarto,treino,762,445,RGBA,4,PNG,460716,nao,data/train/myocardial infarctions/mi025.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi026.png,infarto,treino,864,397,RGBA,4,PNG,486722,nao,data/train/myocardial infarctions/mi026.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi027.png,infarto,treino,793,444,RGBA,4,PNG,481059,nao,data/train/myocardial infarctions/mi027.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi028.png,infarto,treino,861,310,RGBA,4,PNG,241433,nao,data/train/myocardial infarctions/mi028.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi029.png,infarto,treino,793,439,RGBA,4,PNG,424666,nao,data/train/myocardial infarctions/mi029.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi030.png,infarto,treino,783,439,RGBA,4,PNG,431524,nao,data/train/myocardial infarctions/mi030.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi031.png,infarto,treino,838,444,RGBA,4,PNG,333223,nao,data/train/myocardial infarctions/mi031.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi032.png,infarto,treino,789,448,RGBA,4,PNG,424975,nao,data/train/myocardial infarctions/mi032.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi033.png,infarto,treino,799,349,RGBA,4,PNG,352665,nao,data/train/myocardial infarctions/mi033.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi034.png,infarto,treino,1288,673,RGBA,4,PNG,1036699,nao,data/train/myocardial infarctions/mi034.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi035.png,infarto,treino,1270,697,RGBA,4,PNG,1632778,nao,data/train/myocardial infarctions/mi035.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi036.png,infarto,treino,1288,655,RGBA,4,PNG,1563946,nao,data/train/myocardial infarctions/mi036.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi037.png,infarto,treino,1284,733,RGBA,4,PNG,1731017,nao,data/train/myocardial infarctions/mi037.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi038.png,infarto,treino,1282,672,RGBA,4,PNG,1605483,nao,data/train/myocardial infarctions/mi038.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi039.png,infarto,treino,1285,655,RGBA,4,PNG,1480890,nao,data/train/myocardial infarctions/mi039.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi040.png,infarto,treino,1284,651,RGBA,4,PNG,1443156,nao,data/train/myocardial infarctions/mi040.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi041.png,infarto,treino,1290,676,RGBA,4,PNG,1371808,nao,data/train/myocardial infarctions/mi041.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi042.png,infarto,treino,1284,661,RGBA,4,PNG,1436178,nao,data/train/myocardial infarctions/mi042.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi043.png,infarto,treino,1287,660,RGBA,4,PNG,1234936,nao,data/train/myocardial infarctions/mi043.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi044.png,infarto,treino,1255,703,RGBA,4,PNG,1357999,nao,data/train/myocardial infarctions/mi044.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi045.png,infarto,treino,1287,661,RGBA,4,PNG,1563796,nao,data/train/myocardial infarctions/mi045.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi046.png,infarto,treino,1287,660,RGBA,4,PNG,1485198,nao,data/train/myocardial infarctions/mi046.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi047.png,infarto,treino,1288,676,RGBA,4,PNG,1516935,nao,data/train/myocardial infarctions/mi047.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi048.png,infarto,treino,1287,651,RGBA,4,PNG,1263459,nao,data/train/myocardial infarctions/mi048.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi049.png,infarto,treino,1288,721,RGBA,4,PNG,1650481,nao,data/train/myocardial infarctions/mi049.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi050.png,infarto,treino,1287,700,RGBA,4,PNG,1289640,nao,data/train/myocardial infarctions/mi050.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi051.png,infarto,treino,1291,667,RGBA,4,PNG,1501677,nao,data/train/myocardial infarctions/mi051.png
_interno/ecg_png_alta_resolucao/treino/infarto/mi052.png,infarto,treino,1282,703,RGBA,4,PNG,1543096,nao,data/train/myocardial infarctions/mi052.png
_interno/ecg_png_alta_resolucao/treino/normal/11.png,normal,treino,1117,541,RGBA,4,PNG,704729,nao,data/train/normal/11.png
_interno/ecg_png_alta_resolucao/treino/normal/12.png,normal,treino,624,342,RGBA,4,PNG,415178,nao,data/train/normal/12.png
_interno/ecg_png_alta_resolucao/treino/normal/13.png,normal,treino,1428,673,RGBA,4,PNG,982466,nao,data/train/normal/13.png
_interno/ecg_png_alta_resolucao/treino/normal/14.png,normal,treino,985,451,RGBA,4,PNG,453567,nao,data/train/normal/14.png
_interno/ecg_png_alta_resolucao/treino/normal/15.png,normal,treino,732,301,RGBA,4,PNG,450565,nao,data/train/normal/15.png
_interno/ecg_png_alta_resolucao/treino/normal/16.png,normal,treino,1015,559,RGBA,4,PNG,655814,nao,data/train/normal/16.png
_interno/ecg_png_alta_resolucao/treino/normal/17.png,normal,treino,1117,631,RGBA,4,PNG,1454160,nao,data/train/normal/17.png
_interno/ecg_png_alta_resolucao/treino/normal/18.png,normal,treino,1333,703,RGBA,4,PNG,1246862,nao,data/train/normal/18.png
_interno/ecg_png_alta_resolucao/treino/normal/19.png,normal,treino,1102,652,RGBA,4,PNG,705825,nao,data/train/normal/19.png
_interno/ecg_png_alta_resolucao/treino/normal/2.png,normal,treino,1678,613,RGBA,4,PNG,940663,nao,data/train/normal/2.png
_interno/ecg_png_alta_resolucao/treino/normal/20.png,normal,treino,847,430,RGBA,4,PNG,996406,nao,data/train/normal/20.png
_interno/ecg_png_alta_resolucao/treino/normal/21.png,normal,treino,1009,478,RGBA,4,PNG,1191225,nao,data/train/normal/21.png
_interno/ecg_png_alta_resolucao/treino/normal/4.png,normal,treino,942,433,RGBA,4,PNG,829367,nao,data/train/normal/4.png
_interno/ecg_png_alta_resolucao/treino/normal/5.jpg,normal,treino,1280,596,RGB,3,JPEG,406237,nao,data/train/normal/5.jpg
_interno/ecg_png_alta_resolucao/treino/normal/6.png,normal,treino,913,528,RGBA,4,PNG,957045,nao,data/train/normal/6.png
_interno/ecg_png_alta_resolucao/treino/normal/7.png,normal,treino,1030,559,RGBA,4,PNG,669227,nao,data/train/normal/7.png
_interno/ecg_png_alta_resolucao/treino/normal/8.png,normal,treino,1015,465,RGBA,4,PNG,970432,nao,data/train/normal/8.png
_interno/ecg_png_alta_resolucao/treino/normal/9.png,normal,treino,1108,526,RGBA,4,PNG,1585960,nao,data/train/normal/9.png
_interno/ecg_png_alta_resolucao/treino/normal/normal001.png,normal,treino,1471,751,RGBA,4,PNG,1163143,nao,data/train/normal/normal001.png
_interno/ecg_png_alta_resolucao/treino/normal/normal002.png,normal,treino,1474,766,RGBA,4,PNG,806628,nao,data/train/normal/normal002.png
_interno/ecg_png_alta_resolucao/treino/normal/normal003.png,normal,treino,1474,778,RGBA,4,PNG,958434,nao,data/train/normal/normal003.png
_interno/ecg_png_alta_resolucao/treino/normal/normal004.png,normal,treino,1285,660,RGBA,4,PNG,1547296,nao,data/train/normal/normal004.png
_interno/ecg_png_alta_resolucao/treino/normal/normal005.png,normal,treino,1285,672,RGBA,4,PNG,1299690,nao,data/train/normal/normal005.png
_interno/ecg_png_alta_resolucao/treino/normal/normal006.png,normal,treino,1315,631,RGBA,4,PNG,1682155,nao,data/train/normal/normal006.png
_interno/ecg_png_alta_resolucao/treino/normal/normal007.png,normal,treino,1287,691,RGBA,4,PNG,1359742,nao,data/train/normal/normal007.png
_interno/ecg_png_alta_resolucao/treino/normal/normal008.png,normal,treino,1224,693,RGBA,4,PNG,1307655,nao,data/train/normal/normal008.png
_interno/ecg_png_alta_resolucao/treino/normal/normal009.png,normal,treino,1285,675,RGBA,4,PNG,1519270,nao,data/train/normal/normal009.png
_interno/ecg_png_alta_resolucao/treino/normal/normal010.png,normal,treino,967,508,RGBA,4,PNG,646011,nao,data/train/normal/normal010.png
_interno/ecg_png_alta_resolucao/treino/normal/normal011.png,normal,treino,1240,658,RGBA,4,PNG,903870,nao,data/train/normal/normal011.png
_interno/ecg_png_alta_resolucao/treino/normal/normal012.png,normal,treino,1240,637,RGBA,4,PNG,959276,nao,data/train/normal/normal012.png
_interno/ecg_png_alta_resolucao/treino/normal/normal013.png,normal,treino,1177,678,RGBA,4,PNG,892507,nao,data/train/normal/normal013.png
_interno/ecg_png_alta_resolucao/treino/normal/normal014.png,normal,treino,1168,652,RGBA,4,PNG,953562,nao,data/train/normal/normal014.png
_interno/ecg_png_alta_resolucao/treino/normal/normal015.png,normal,treino,1237,642,RGBA,4,PNG,921580,nao,data/train/normal/normal015.png
_interno/ecg_png_alta_resolucao/treino/normal/normal016.png,normal,treino,1273,673,RGBA,4,PNG,982612,nao,data/train/normal/normal016.png
_interno/ecg_png_alta_resolucao/treino/normal/normal017.png,normal,treino,1288,649,RGBA,4,PNG,1402831,nao,data/train/normal/normal017.png
_interno/ecg_png_alta_resolucao/treino/normal/normal018.png,normal,treino,1240,646,RGBA,4,PNG,1313534,nao,data/train/normal/normal018.png
_interno/ecg_png_alta_resolucao/treino/normal/normal019.png,normal,treino,1233,649,RGBA,4,PNG,1454441,nao,data/train/normal/normal019.png
_interno/ecg_png_alta_resolucao/treino/normal/normal020.png,normal,treino,1167,646,RGBA,4,PNG,1043242,nao,data/train/normal/normal020.png
_interno/ecg_png_alta_resolucao/treino/normal/normal021.png,normal,treino,1287,652,RGBA,4,PNG,1206297,nao,data/train/normal/normal021.png
_interno/ecg_png_alta_resolucao/treino/normal/normal022.png,normal,treino,1284,646,RGBA,4,PNG,1181191,nao,data/train/normal/normal022.png
_interno/ecg_png_alta_resolucao/treino/normal/normal023.png,normal,treino,1284,670,RGBA,4,PNG,1268874,nao,data/train/normal/normal023.png
_interno/ecg_png_alta_resolucao/treino/normal/normal024.png,normal,treino,1249,696,RGBA,4,PNG,1443150,nao,data/train/normal/normal024.png
_interno/ecg_png_alta_resolucao/treino/normal/normal025.png,normal,treino,1284,702,RGBA,4,PNG,1232569,nao,data/train/normal/normal025.png
_interno/ecg_png_alta_resolucao/treino/normal/normal026.png,normal,treino,1515,591,RGBA,4,PNG,1674102,nao,data/train/normal/normal026.png
_interno/ecg_png_alta_resolucao/treino/normal/normal027.png,normal,treino,799,394,RGBA,4,PNG,711087,nao,data/train/normal/normal027.png
_interno/ecg_png_alta_resolucao/treino/normal/normal028.png,normal,treino,801,391,RGBA,4,PNG,692885,nao,data/train/normal/normal028.png
_interno/ecg_png_alta_resolucao/treino/normal/normal029.png,normal,treino,799,430,RGBA,4,PNG,755678,nao,data/train/normal/normal029.png
_interno/ecg_png_alta_resolucao/treino/normal/normal030.png,normal,treino,799,354,RGBA,4,PNG,626171,nao,data/train/normal/normal030.png
_interno/ecg_png_alta_resolucao/treino/normal/normal031.png,normal,treino,795,379,RGBA,4,PNG,674411,nao,data/train/normal/normal031.png
_interno/ecg_png_alta_resolucao/treino/normal/normal032.png,normal,treino,799,348,RGBA,4,PNG,623472,nao,data/train/normal/normal032.png
_interno/ecg_png_alta_resolucao/treino/normal/normal033.png,normal,treino,804,327,RGBA,4,PNG,582882,nao,data/train/normal/normal033.png
_interno/ecg_png_alta_resolucao/treino/normal/normal034.png,normal,treino,798,355,RGBA,4,PNG,639834,nao,data/train/normal/normal034.png
_interno/ecg_png_alta_resolucao/treino/normal/normal035.png,normal,treino,796,352,RGBA,4,PNG,622278,nao,data/train/normal/normal035.png
_interno/ecg_png_alta_resolucao/treino/normal/normal036.png,normal,treino,799,403,RGBA,4,PNG,717939,nao,data/train/normal/normal036.png
_interno/ecg_png_alta_resolucao/treino/normal/normal037.png,normal,treino,1234,433,RGBA,4,PNG,862956,nao,data/train/normal/normal037.png
_interno/ecg_png_alta_resolucao/treino/normal/normal038.png,normal,treino,1242,622,RGBA,4,PNG,592057,nao,data/train/normal/normal038.png
_interno/ecg_png_alta_resolucao/treino/normal/normal039.png,normal,treino,745,442,RGBA,4,PNG,300214,nao,data/train/normal/normal039.png
_interno/ecg_png_alta_resolucao/treino/normal/normal040.png,normal,treino,856,426,RGBA,4,PNG,277974,nao,data/train/normal/normal040.png
_interno/ecg_png_alta_resolucao/treino/normal/normal041.png,normal,treino,861,315,RGBA,4,PNG,203015,nao,data/train/normal/normal041.png
assets/ecg/teste/infarto/MI(155).jpg,infarto,teste,227,227,RGB,3,JPEG,39894,sim,data/test/myocardial infarctions/MI(155).jpg
assets/ecg/teste/infarto/MI(156).jpg,infarto,teste,227,227,RGB,3,JPEG,44442,sim,data/test/myocardial infarctions/MI(156).jpg
assets/ecg/teste/infarto/MI(157).jpg,infarto,teste,227,227,RGB,3,JPEG,42271,sim,data/test/myocardial infarctions/MI(157).jpg
assets/ecg/teste/infarto/MI(158).jpg,infarto,teste,227,227,RGB,3,JPEG,43474,sim,data/test/myocardial infarctions/MI(158).jpg
assets/ecg/teste/infarto/MI(159).jpg,infarto,teste,227,227,RGB,3,JPEG,43362,sim,data/test/myocardial infarctions/MI(159).jpg
assets/ecg/teste/infarto/MI(160).jpg,infarto,teste,227,227,RGB,3,JPEG,40845,sim,data/test/myocardial infarctions/MI(160).jpg
assets/ecg/teste/infarto/MI(161).jpg,infarto,teste,227,227,RGB,3,JPEG,41657,sim,data/test/myocardial infarctions/MI(161).jpg
assets/ecg/teste/infarto/MI(162).jpg,infarto,teste,227,227,RGB,3,JPEG,42291,sim,data/test/myocardial infarctions/MI(162).jpg
assets/ecg/teste/infarto/MI(163).jpg,infarto,teste,227,227,RGB,3,JPEG,41545,sim,data/test/myocardial infarctions/MI(163).jpg
assets/ecg/teste/infarto/MI(164).jpg,infarto,teste,227,227,RGB,3,JPEG,42729,sim,data/test/myocardial infarctions/MI(164).jpg
assets/ecg/teste/infarto/MI(165).jpg,infarto,teste,227,227,RGB,3,JPEG,42953,sim,data/test/myocardial infarctions/MI(165).jpg
assets/ecg/teste/infarto/MI(166).jpg,infarto,teste,227,227,RGB,3,JPEG,42419,sim,data/test/myocardial infarctions/MI(166).jpg
assets/ecg/teste/infarto/MI(167).jpg,infarto,teste,227,227,RGB,3,JPEG,42869,sim,data/test/myocardial infarctions/MI(167).jpg
assets/ecg/teste/infarto/MI(168).jpg,infarto,teste,227,227,RGB,3,JPEG,42132,sim,data/test/myocardial infarctions/MI(168).jpg
assets/ecg/teste/infarto/MI(169).jpg,infarto,teste,227,227,RGB,3,JPEG,41176,sim,data/test/myocardial infarctions/MI(169).jpg
assets/ecg/teste/infarto/MI(170).jpg,infarto,teste,227,227,RGB,3,JPEG,43288,sim,data/test/myocardial infarctions/MI(170).jpg
assets/ecg/teste/infarto/MI(171).jpg,infarto,teste,227,227,RGB,3,JPEG,42085,sim,data/test/myocardial infarctions/MI(171).jpg
assets/ecg/teste/infarto/MI(172).jpg,infarto,teste,227,227,RGB,3,JPEG,43215,sim,data/test/myocardial infarctions/MI(172).jpg
assets/ecg/teste/infarto/MI(173).jpg,infarto,teste,227,227,RGB,3,JPEG,41899,sim,data/test/myocardial infarctions/MI(173).jpg
assets/ecg/teste/infarto/MI(174).jpg,infarto,teste,227,227,RGB,3,JPEG,46928,sim,data/test/myocardial infarctions/MI(174).jpg
assets/ecg/teste/infarto/MI(175).jpg,infarto,teste,227,227,RGB,3,JPEG,40424,sim,data/test/myocardial infarctions/MI(175).jpg
assets/ecg/teste/infarto/MI(176).jpg,infarto,teste,227,227,RGB,3,JPEG,43244,sim,data/test/myocardial infarctions/MI(176).jpg
assets/ecg/teste/infarto/MI(177).jpg,infarto,teste,227,227,RGB,3,JPEG,42480,sim,data/test/myocardial infarctions/MI(177).jpg
assets/ecg/teste/infarto/MI(178).jpg,infarto,teste,227,227,RGB,3,JPEG,43159,sim,data/test/myocardial infarctions/MI(178).jpg
assets/ecg/teste/infarto/MI(179).jpg,infarto,teste,227,227,RGB,3,JPEG,40863,sim,data/test/myocardial infarctions/MI(179).jpg
assets/ecg/teste/infarto/MI(180).jpg,infarto,teste,227,227,RGB,3,JPEG,42507,sim,data/test/myocardial infarctions/MI(180).jpg
assets/ecg/teste/infarto/MI(181).jpg,infarto,teste,227,227,RGB,3,JPEG,42568,sim,data/test/myocardial infarctions/MI(181).jpg
assets/ecg/teste/infarto/MI(182).jpg,infarto,teste,227,227,RGB,3,JPEG,45586,sim,data/test/myocardial infarctions/MI(182).jpg
assets/ecg/teste/infarto/MI(183).jpg,infarto,teste,227,227,RGB,3,JPEG,41161,sim,data/test/myocardial infarctions/MI(183).jpg
assets/ecg/teste/infarto/MI(184).jpg,infarto,teste,227,227,RGB,3,JPEG,40867,sim,data/test/myocardial infarctions/MI(184).jpg
assets/ecg/teste/infarto/MI(185).jpg,infarto,teste,227,227,RGB,3,JPEG,39894,sim,data/test/myocardial infarctions/MI(185).jpg
assets/ecg/teste/infarto/MI(186).jpg,infarto,teste,227,227,RGB,3,JPEG,44442,sim,data/test/myocardial infarctions/MI(186).jpg
assets/ecg/teste/infarto/MI(187).jpg,infarto,teste,227,227,RGB,3,JPEG,42271,sim,data/test/myocardial infarctions/MI(187).jpg
assets/ecg/teste/infarto/MI(188).jpg,infarto,teste,227,227,RGB,3,JPEG,43474,sim,data/test/myocardial infarctions/MI(188).jpg
assets/ecg/teste/infarto/MI(189).jpg,infarto,teste,227,227,RGB,3,JPEG,43362,sim,data/test/myocardial infarctions/MI(189).jpg
assets/ecg/teste/infarto/MI(190).jpg,infarto,teste,227,227,RGB,3,JPEG,40845,sim,data/test/myocardial infarctions/MI(190).jpg
assets/ecg/teste/infarto/MI(191).jpg,infarto,teste,227,227,RGB,3,JPEG,41657,sim,data/test/myocardial infarctions/MI(191).jpg
assets/ecg/teste/infarto/MI(192).jpg,infarto,teste,227,227,RGB,3,JPEG,42291,sim,data/test/myocardial infarctions/MI(192).jpg
assets/ecg/teste/infarto/MI(193).jpg,infarto,teste,227,227,RGB,3,JPEG,41545,sim,data/test/myocardial infarctions/MI(193).jpg
assets/ecg/teste/infarto/MI(194).jpg,infarto,teste,227,227,RGB,3,JPEG,42729,sim,data/test/myocardial infarctions/MI(194).jpg
assets/ecg/teste/infarto/MI(195).jpg,infarto,teste,227,227,RGB,3,JPEG,42953,sim,data/test/myocardial infarctions/MI(195).jpg
assets/ecg/teste/infarto/MI(196).jpg,infarto,teste,227,227,RGB,3,JPEG,42419,sim,data/test/myocardial infarctions/MI(196).jpg
assets/ecg/teste/infarto/MI(197).jpg,infarto,teste,227,227,RGB,3,JPEG,42869,sim,data/test/myocardial infarctions/MI(197).jpg
assets/ecg/teste/infarto/MI(198).jpg,infarto,teste,227,227,RGB,3,JPEG,42132,sim,data/test/myocardial infarctions/MI(198).jpg
assets/ecg/teste/infarto/MI(199).jpg,infarto,teste,227,227,RGB,3,JPEG,41176,sim,data/test/myocardial infarctions/MI(199).jpg
assets/ecg/teste/infarto/MI(200).jpg,infarto,teste,227,227,RGB,3,JPEG,43288,sim,data/test/myocardial infarctions/MI(200).jpg
assets/ecg/teste/infarto/MI(201).jpg,infarto,teste,227,227,RGB,3,JPEG,42085,sim,data/test/myocardial infarctions/MI(201).jpg
assets/ecg/teste/infarto/MI(202).jpg,infarto,teste,227,227,RGB,3,JPEG,43215,sim,data/test/myocardial infarctions/MI(202).jpg
assets/ecg/teste/infarto/MI(203).jpg,infarto,teste,227,227,RGB,3,JPEG,41899,sim,data/test/myocardial infarctions/MI(203).jpg
assets/ecg/teste/infarto/MI(204).jpg,infarto,teste,227,227,RGB,3,JPEG,46928,sim,data/test/myocardial infarctions/MI(204).jpg
assets/ecg/teste/infarto/MI(205).jpg,infarto,teste,227,227,RGB,3,JPEG,40424,sim,data/test/myocardial infarctions/MI(205).jpg
assets/ecg/teste/infarto/MI(206).jpg,infarto,teste,227,227,RGB,3,JPEG,43244,sim,data/test/myocardial infarctions/MI(206).jpg
